FID;Z_Normalized;BLUE_N;GREEN_N;RED_N;NIR_N
1;0,986928105;0,402135231;0,34223301;0,194130926;0,203190596
2;0,986928105;0,402135231;0,34223301;0,194130926;0,203190596
3;0,967320261;0,402135231;0,34223301;0,194130926;0,203190596
4;0,967320261;0,402135231;0,34223301;0,194130926;0,203190596
5;0,980392157;0,402135231;0,34223301;0,194130926;0,203190596
6;0,960784314;0,402135231;0,34223301;0,194130926;0,203190596
7;0,967320261;0,402135231;0,34223301;0,194130926;0,203190596
8;0,934640523;0,402135231;0,34223301;0,194130926;0,203190596
9;0,928104575;0,402135231;0,34223301;0,194130926;0,203190596
10;0,947712418;0,306049822;0,526699029;0,35214447;0
11;0,908496732;0,306049822;0,526699029;0,35214447;0
12;0,941176471;0,306049822;0,526699029;0,35214447;0
13;0,941176471;0,306049822;0,526699029;0,35214447;0
14;0,91503268;0,306049822;0,526699029;0,35214447;0
15;0,869281046;0,306049822;0,526699029;0,35214447;0
16;0,888888889;0,306049822;0,526699029;0,35214447;0
17;0,849673203;0,306049822;0,526699029;0,35214447;0
18;0,869281046;0,306049822;0,526699029;0,35214447;0
19;0,875816993;0,306049822;0,526699029;0,35214447;0
20;0,816993464;0,306049822;0,526699029;0,35214447;0
21;0,836601307;0,306049822;0,526699029;0,35214447;0
22;0,836601307;0,306049822;0,526699029;0,35214447;0
23;0,836601307;0,306049822;0,526699029;0,35214447;0
24;0,810457516;0,306049822;0,526699029;0,35214447;0
25;0,790849673;0,306049822;0,526699029;0,35214447;0
26;0,790849673;0,306049822;0,526699029;0,35214447;0
27;0,784313725;0,306049822;0,526699029;0,35214447;0
28;0,77124183;0,306049822;0,526699029;0,35214447;0
29;0,77124183;0,306049822;0,526699029;0,35214447;0
30;0,790849673;0,306049822;0,526699029;0,35214447;0
31;0,816993464;0,306049822;0,526699029;0,35214447;0
32;0,777777778;0,306049822;0,526699029;0,35214447;0
33;0,797385621;0,306049822;0,526699029;0,35214447;0
34;0,738562092;0,306049822;0,526699029;0,35214447;0
35;0,823529412;0,306049822;0,526699029;0,35214447;0
36;0,745098039;0,306049822;0,526699029;0,35214447;0
37;0,745098039;0,306049822;0,526699029;0,35214447;0
38;0,738562092;0,306049822;0,526699029;0,35214447;0
39;0,732026144;0,306049822;0,526699029;0,35214447;0
40;0,712418301;0,306049822;0,526699029;0,35214447;0
41;0,745098039;0,306049822;0,526699029;0,35214447;0
42;0,725490196;0,306049822;0,526699029;0,35214447;0
43;0,745098039;0,306049822;0,526699029;0,35214447;0
44;0,732026144;0,306049822;0,526699029;0,35214447;0
45;0,758169935;0,306049822;0,526699029;0,35214447;0
46;0,718954248;0,306049822;0,526699029;0,35214447;0
47;0,732026144;0,306049822;0,526699029;0,35214447;0
48;0,732026144;0,306049822;0,526699029;0,35214447;0
49;0,764705882;0,306049822;0,526699029;0,35214447;0
50;0,764705882;0,306049822;0,526699029;0,35214447;0
51;0,692810458;0,306049822;0,526699029;0,35214447;0
52;0,764705882;0,306049822;0,526699029;0,35214447;0
53;0,673202614;0,306049822;0,526699029;0,35214447;0
54;0,718954248;0,306049822;0,526699029;0,35214447;0
55;0,679738562;0,306049822;0,526699029;0,35214447;0
56;0,679738562;0,306049822;0,526699029;0,35214447;0
57;0,679738562;0,306049822;0,526699029;0,35214447;0
58;0,718954248;0,306049822;0,526699029;0,35214447;0
59;0,712418301;0,306049822;0,526699029;0,35214447;0
60;0,712418301;0,306049822;0,526699029;0,35214447;0
61;0,294117647;0,195729537;0,546116505;0,241534989;0,848866499
62;0,31372549;0,195729537;0,546116505;0,241534989;0,848866499
63;0,31372549;0,195729537;0,546116505;0,241534989;0,848866499
64;0,307189542;0,195729537;0,546116505;0,241534989;0,848866499
65;0,307189542;0,195729537;0,546116505;0,241534989;0,848866499
66;0,294117647;0,195729537;0,546116505;0,241534989;0,848866499
67;0,307189542;0,195729537;0,546116505;0,241534989;0,848866499
68;0,307189542;0,195729537;0,546116505;0,241534989;0,848866499
69;0,300653595;0,195729537;0,546116505;0,241534989;0,848866499
70;0,294117647;0,195729537;0,546116505;0,241534989;0,848866499
71;0,294117647;0,195729537;0,546116505;0,241534989;0,848866499
72;0,287581699;0,195729537;0,546116505;0,241534989;0,848866499
73;0,307189542;0,195729537;0,546116505;0,241534989;0,848866499
74;0,294117647;0,195729537;0,546116505;0,241534989;0,848866499
75;0,294117647;0,195729537;0,546116505;0,241534989;0,848866499
76;0,294117647;0,195729537;0,546116505;0,241534989;0,848866499
77;0,287581699;0,195729537;0,546116505;0,241534989;0,848866499
78;0,281045752;0,195729537;0,546116505;0,241534989;0,848866499
79;0,300653595;0,195729537;0,546116505;0,241534989;0,848866499
80;0,294117647;0,195729537;0,546116505;0,241534989;0,848866499
81;0,274509804;0,195729537;0,546116505;0,241534989;0,848866499
82;0,274509804;0,195729537;0,546116505;0,241534989;0,848866499
83;0,31372549;0,195729537;0,546116505;0,241534989;0,848866499
84;0,281045752;0,195729537;0,546116505;0,241534989;0,848866499
